00000159) perceptual - 147.50728; gen_gan - 0.68909; feature_matching - 6.17441; equivariance_value - 1.73612; equivariance_jacobian - 2.05817; kp_distance - 4.05968; verilight - 2.16304; disc_gan - 0.21714
00000160) perceptual - 153.20419; gen_gan - 0.69125; feature_matching - 6.32069; equivariance_value - 1.81890; equivariance_jacobian - 1.90064; kp_distance - 3.92847; verilight - 2.30014; disc_gan - 0.21064
00000161) perceptual - 153.05983; gen_gan - 0.71519; feature_matching - 6.39933; equivariance_value - 1.80294; equivariance_jacobian - 1.39279; kp_distance - 4.30476; verilight - 2.27676; disc_gan - 0.19701
00000162) perceptual - 151.38400; gen_gan - 0.68978; feature_matching - 6.36591; equivariance_value - 1.75745; equivariance_jacobian - 1.33497; kp_distance - 4.08550; verilight - 2.23435; disc_gan - 0.19649
00000163) perceptual - 150.33461; gen_gan - 0.70948; feature_matching - 6.39057; equivariance_value - 1.74220; equivariance_jacobian - 1.39010; kp_distance - 4.04614; verilight - 2.37562; disc_gan - 0.19602
00000164) perceptual - 155.06450; gen_gan - 0.75238; feature_matching - 6.54372; equivariance_value - 1.72777; equivariance_jacobian - 1.34884; kp_distance - 3.77989; verilight - 2.47057; disc_gan - 0.18198
00000149) perceptual - 170.37097; gen_gan - 0.63716; feature_matching - 6.31668; equivariance_value - 0.92182; equivariance_jacobian - 1.04410; kp_distance - 1.95090; verilight - 0.87565; disc_gan - 0.40547
00000150) perceptual - 166.16321; gen_gan - 0.68717; feature_matching - 6.46071; equivariance_value - 0.88086; equivariance_jacobian - 0.99141; kp_distance - 2.58921; verilight - 0.72619; disc_gan - 0.21440
00000151) perceptual - 156.88989; gen_gan - 0.67641; feature_matching - 6.12671; equivariance_value - 0.84004; equivariance_jacobian - 0.92500; kp_distance - 2.64296; verilight - 0.49074; disc_gan - 0.23346
00000152) perceptual - 149.88452; gen_gan - 0.64872; feature_matching - 5.98275; equivariance_value - 0.79071; equivariance_jacobian - 0.87540; kp_distance - 2.80889; verilight - 0.40899; disc_gan - 0.23294
00000153) perceptual - 143.02219; gen_gan - 0.68050; feature_matching - 5.83953; equivariance_value - 0.73830; equivariance_jacobian - 0.86080; kp_distance - 2.75936; verilight - 0.40568; disc_gan - 0.21058
00000154) perceptual - 141.65680; gen_gan - 0.69514; feature_matching - 5.82400; equivariance_value - 0.72463; equivariance_jacobian - 0.84187; kp_distance - 2.71196; verilight - 0.40941; disc_gan - 0.22357
00000155) perceptual - 137.37622; gen_gan - 0.71715; feature_matching - 5.76685; equivariance_value - 0.69102; equivariance_jacobian - 0.81648; kp_distance - 2.74159; verilight - 0.42856; disc_gan - 0.17774
00000156) perceptual - 137.19194; gen_gan - 0.68858; feature_matching - 5.69378; equivariance_value - 0.69073; equivariance_jacobian - 0.81775; kp_distance - 2.59090; verilight - 0.45592; disc_gan - 0.20640
00000157) perceptual - 133.54240; gen_gan - 0.70501; feature_matching - 5.63054; equivariance_value - 0.69661; equivariance_jacobian - 0.79910; kp_distance - 2.51344; verilight - 0.42891; disc_gan - 0.21957
00000158) perceptual - 132.61679; gen_gan - 0.68751; feature_matching - 5.55072; equivariance_value - 0.65692; equivariance_jacobian - 0.78987; kp_distance - 2.56508; verilight - 0.49227; disc_gan - 0.20978
00000159) perceptual - 132.56462; gen_gan - 0.66152; feature_matching - 5.53883; equivariance_value - 0.66973; equivariance_jacobian - 0.80581; kp_distance - 2.56339; verilight - 0.46015; disc_gan - 0.23221
00000160) perceptual - 128.67825; gen_gan - 0.67156; feature_matching - 5.38117; equivariance_value - 0.64407; equivariance_jacobian - 0.76795; kp_distance - 2.51429; verilight - 0.44043; disc_gan - 0.22277
00000161) perceptual - 126.54813; gen_gan - 0.64559; feature_matching - 5.32959; equivariance_value - 0.65503; equivariance_jacobian - 0.77339; kp_distance - 2.27471; verilight - 0.48966; disc_gan - 0.24030
00000162) perceptual - 127.30319; gen_gan - 0.64659; feature_matching - 5.31147; equivariance_value - 0.64711; equivariance_jacobian - 0.75472; kp_distance - 2.32423; verilight - 0.49134; disc_gan - 0.25573
00000163) perceptual - 126.94370; gen_gan - 0.64884; feature_matching - 5.30786; equivariance_value - 0.64374; equivariance_jacobian - 0.77399; kp_distance - 2.35725; verilight - 0.52109; disc_gan - 0.24025
00000164) perceptual - 122.95902; gen_gan - 0.63688; feature_matching - 5.16319; equivariance_value - 0.66330; equivariance_jacobian - 0.78284; kp_distance - 2.29841; verilight - 0.54591; disc_gan - 0.23407
00000165) perceptual - 122.38906; gen_gan - 0.62947; feature_matching - 5.12492; equivariance_value - 0.63957; equivariance_jacobian - 0.76792; kp_distance - 2.27725; verilight - 0.55444; disc_gan - 0.25988
00000166) perceptual - 122.04979; gen_gan - 0.62757; feature_matching - 5.11325; equivariance_value - 0.63821; equivariance_jacobian - 0.77230; kp_distance - 2.18243; verilight - 0.52459; disc_gan - 0.24579
